Time,Speed (m/s)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1.34112
22,2.637536
23,3.844544
24,5.14096
25,6.392672
26,7.554976
27,7.733792
28,8.091424
29,9.253728
30,9.700768
31,10.013696
32,10.0584
33,9.879584
34,9.61136
35,9.343136
36,9.119616
37,8.851392
38,7.59968
39,6.660896
40,6.660896
41,6.795008
42,6.92912
43,7.15264
44,7.644384
45,8.538464
46,9.432544
47,10.147808
48,10.237216
49,10.147808
50,10.103104
51,9.521952
52,8.49376
53,7.644384
54,7.063232
55,7.063232
56,7.912608
57,8.851392
58,9.656064
59,10.371328
60,10.818368
61,10.997184
62,11.131296
63,11.176
64,10.997184
65,10.95248
66,11.041888
67,11.086592
68,11.041888
69,10.997184
70,10.997184
71,11.220704
72,11.444224
73,11.488928
74,11.354816
75,11.131296
76,11.176
77,11.354816
78,11.62304
79,11.62304
80,11.488928
81,11.667744
82,11.935968
83,12.2936
84,12.785344
85,13.098272
86,13.321792
87,13.455904
88,13.590016
89,13.724128
90,13.724128
91,13.63472
92,13.590016
93,13.545312
94,13.590016
95,13.768832
96,13.590016
97,13.366496
98,13.18768
99,13.321792
100,13.545312
101,13.724128
102,13.813536
103,13.85824
104,13.813536
105,13.590016
106,13.321792
107,13.366496
108,13.500608
109,13.724128
110,13.947648
111,14.215872
112,14.394688
113,14.484096
114,14.394688
115,14.171168
116,12.785344
117,11.310112
118,9.83488
119,8.359648
120,6.884416
121,5.409184
122,3.933952
123,2.45872
124,0.983488
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1.475232
165,2.950464
166,4.425696
167,5.900928
168,7.37616
169,8.851392
170,9.924288
171,10.863072
172,11.533632
173,11.801856
174,11.488928
175,11.220704
176,11.041888
177,11.176
178,11.265408
179,11.354816
180,11.533632
181,12.159488
182,11.84656
183,10.72896
184,10.147808
185,8.672576
186,7.912608
187,7.689088
188,8.091424
189,8.314944
190,8.9408
191,9.924288
192,10.95248
193,12.204192
194,13.63472
195,14.97584
196,16.182848
197,16.674592
198,17.568672
199,18.10512
200,18.820384
201,19.44624
202,20.161504
203,20.56384
204,20.921472
205,21.2344
206,21.2344
207,21.144992
208,21.100288
209,21.01088
210,21.01088
211,21.01088
212,21.01088
213,21.01088
214,21.100288
215,21.189696
216,21.413216
217,21.68144
218,21.949664
219,22.12848
220,22.352
221,22.620224
222,22.79904
223,23.02256
224,23.335488
225,23.782528
226,24.184864
227,24.408384
228,24.542496
229,24.5872
230,24.542496
231,24.408384
232,24.408384
233,24.497792
234,24.631904
235,24.81072
236,24.900128
237,25.078944
238,25.168352
239,25.302464
240,25.347168
241,25.347168
242,25.25776
243,25.25776
244,25.25776
245,25.25776
246,25.25776
247,25.25776
248,25.213056
249,25.078944
250,24.944832
251,24.631904
252,24.408384
253,24.229568
254,24.14016
255,24.006048
256,23.961344
257,24.095456
258,24.14016
259,24.184864
260,24.184864
261,24.050752
262,23.871936
263,23.69312
264,23.514304
265,23.290784
266,23.424896
267,23.24608
268,23.201376
269,23.111968
270,23.02256
271,23.067264
272,23.156672
273,23.290784
274,23.4696
275,23.69312
276,23.91664
277,24.14016
278,24.542496
279,24.766016
280,24.855424
281,25.03424
282,25.03424
283,24.944832
284,24.676608
285,24.36368
286,23.961344
287,23.4696
288,23.02256
289,23.02256
290,23.02256
291,22.843744
292,22.396704
293,22.352
294,22.396704
295,22.352
296,22.173184
297,22.12848
298,22.12848
299,22.12848
300,21.949664
301,21.726144
302,21.502624
303,21.100288
304,20.608544
305,20.1168
306,19.580352
307,19.043904
308,18.55216
309,18.015712
310,17.21104
311,16.54048
312,15.735808
313,15.109952
314,14.5288
315,14.08176
316,13.679424
317,13.63472
318,13.4112
319,12.96416
320,12.2936
321,11.086592
322,9.61136
323,8.985504
324,8.538464
325,8.27024
326,7.59968
327,6.92912
328,5.588
329,4.828032
